"sta","en","intr","slp"
-999,9,-5.89520964213512e-05,8.8415002231864e-06
9,11,-5.89520964213512e-05,8.8415002231864e-06
11,13,-0.00114098009579439,9.97180327669223e-05
13,15,-0.00154262312268161,0.000130613650219785
15,17,-0.00906778375156865,0.000632291025478922
17,19,-0.0233474846004629,0.00147227342835505
19,21,-0.0606709929828677,0.00343666860637636
21,23,-0.0946258653162549,0.00505356728891861
23,25,-0.220188503320528,0.0105128124195392
25,27,-0.247717202717613,0.0116139603954226
27,29,-0.142732569860564,0.00772564065997631
29,31,-0.634868876372391,0.0246958581259014
31,33,-4.32372798107783,0.143691313116399
33,35,-9.27363123059584,0.293688381283612
35,37,-10.8757115056724,0.339462103428656
37,999,-17.6286882151391,0.521974987468297
