"sta","en","intr","slp"
-999,9,-0.582483167150003,0.18472518104055
9,11,-0.927534789692795,0.223064250211971
11,13,-2.9240006886279,0.404561150115163
13,15,-3.14655118469336,0.421680419043275
15,17,-4.42331542341496,0.506798034958049
17,19,-5.5852348000635,0.575146233584433
19,21,-9.07237780537296,0.758680075969141
21,23,-10.8307074840999,0.842410060670423
23,25,-11.0953688201301,0.853917075280431
25,27,-12.697748572654,0.91801226538139
27,29,-0.717803833098094,0.4743106083608
29,31,2.57114620305688,0.360898538148559
31,33,-1.87096838024284,0.50419255696468
33,35,-1.87096838024284,0.50419255696468
35,37,-1.87096838024284,0.50419255696468
37,999,-1.87096838024284,0.50419255696468
