"sta","en","intr","slp"
-999,9,-3.64981749682177e-05,5.04235311743926e-06
9,11,-3.64981749682177e-05,5.04235311743926e-06
11,13,-0.000717855373466668,6.31304489413661e-05
13,15,-0.0010309094344467,8.72115305552145e-05
15,17,-0.0238660978621564,0.00160955742573586
17,19,-0.0592922349723936,0.00369344784398511
19,21,-0.203663721829448,0.0112919471522511
21,23,-0.375010637269224,0.0194513240779548
23,25,-0.84196946416327,0.0397538817690002
25,27,-0.523683810218383,0.0270224556112047
27,29,-1.08845771742232,0.0479400077298692
29,31,-3.80588715683233,0.1416444711578
31,33,-9.68784742947089,0.331385125113883
33,35,-14.3020457787277,0.471209317515603
35,37,-13.511195055161,0.448613582556557
37,999,-15.940287188306,0.514264721290205
