"sta","en","intr","slp"
-999,9,-0.352158033579916,0.31693012543009
9,11,-2.42965800373297,0.547763455447096
11,13,-2.74355626544215,0.576299661057021
13,15,-4.2156565042305,0.689538140963817
15,17,-5.89376927847008,0.801412325913123
17,19,-6.26438273878824,0.823213117696544
19,21,-8.04799875480697,0.917087644855424
21,23,-7.38389204140837,0.885463515645967
23,25,-7.72894648938265,0.900465882949197
25,27,-6.29861214664215,0.843252509239577
27,29,5.78432088582744,0.395736470999963
29,31,11.5659152948885,0.19637114654958
31,33,13.2441675226716,0.142233977911418
33,35,13.2474186065178,0.142135460219107
35,37,6.92194751743024,0.322863205621609
37,999,6.92194751743024,0.322863205621609
