"sta","en","intr","slp"
-999,9,1.32356459708552e-05,-1.90170317867398e-06
9,11,-6.72284406121316e-05,7.03875088610233e-06
11,13,-0.000249236170692423,2.35849081661288e-05
13,15,-0.00837019867022097,0.000648274331206786
15,17,-0.00912553317221049,0.000698629964672754
17,19,-0.0312444519862532,0.00199974283608703
19,21,-0.07803360764259,0.00446232997589423
21,23,-0.169105306320242,0.00879907753197289
23,25,-0.492912909958101,0.0228776689944885
25,27,-0.817274188205789,0.035852120124396
27,29,-0.328434642059505,0.0177469517486077
29,31,-2.3742890803807,0.0882936565183041
31,33,-8.3695492417943,0.281689145596162
33,35,-11.7625312255128,0.384506781466419
35,37,-12.7154721863381,0.411733666061429
37,999,-17.9889869208402,0.554261091318241
