"sta","en","intr","slp"
-999,9,-0.352876172051999,0.335257277989639
9,11,-1.41317106301009,0.453067821429428
11,13,-2.15537024126988,0.520540473998499
13,15,-4.95816123270287,0.736139781031806
15,17,-5.99926480225273,0.805546685668463
17,19,-7.04995616019476,0.867352059665053
19,21,-8.45663018548911,0.941387534680545
21,23,-8.16779673133789,0.927633560673344
23,25,-7.20075192679474,0.88558813438886
25,27,-6.8077300994024,0.869867261293166
27,29,4.50351915003021,0.450932103906773
29,31,8.75166460367427,0.304444329643185
31,33,11.2276585411113,0.224573557467797
33,35,11.6260629224272,0.212500697427921
35,37,11.6260629224272,0.212500697427921
37,999,11.6260629224272,0.212500697427921
